Frequency,Nominal,Min,Max
0.8,-0.025885950251114953,-0.034464476262635005,-0.018134801468205074
0.8186343938246033,-0.027107568831410717,-0.036089193766941266,-0.018991784076861647
0.8377028384407197,-0.028386921228004857,-0.03779052725558026,-0.01988937999886068
0.8572154441900852,-0.029726744060018406,-0.039572092105020884,-0.020829525212774338
0.877182556914548,-0.03112990446465758,-0.041437674549109876,-0.021814249086365853
0.8976147634415708,-0.032599406401710704,-0.043391239780799576,-0.02284567899013936
0.9185228971975062,-0.03413839727063895,-0.04543694044099192,-0.02392604514949004
0.9399180439516236,-0.03575017485643209,-0.04757912551348742,-0.02505768574883087
0.9618115476939303,-0.03743819462163134,-0.049822349645665405,-0.02624305230203569
0.9842150166499052,-0.0392060773626,-0.052171382915892794,-0.02748471530420086
1.0071403294353336,-0.041057617249456994,-0.054631221069383465,-0.02878537018105605
1.0305996413545069,-0.04299679027001241,-0.05720709624566732,-0.030147843553029654
1.0546053908451254,-0.04502776309937094,-0.059904488221705354,-0.03157509983255348
1.0791703060733226,-0.04715490241815366,-0.06272913619626987,-0.03307024817391045
1.1043074116823075,-0.0493827847036072,-0.06568705114229907,-0.034636549796787194
1.130030035698203,-0.051716206519404305,-0.06878452875545402,-0.03627742570572841
1.1563518165967415,-0.05416019533156417,-0.07202816302861303,-0.037996464829410846
1.1832867105345652,-0.056720020879441294,-0.07542486048358472,-0.0397974326053577
1.2108489987489657,-0.05940120713287638,-0.07898185509302022,-0.041684280037432686
1.2390532951299842,-0.06220954486823818,-0.08270672392737059,-0.04366115325546736
1.2679145539688899,-0.06515110489835159,-0.08660740356343345,-0.045732403608578644
1.297448077887143,-0.06823225199363835,-0.09069220729340786,-0.04790259832588736
1.3276695259500473,-0.07145965953408018,-0.09496984317510046,-0.050176531781025546
1.3585949219693942,-0.07484032493437577,-0.09944943296657836,-0.05255923739945864
1.390240662999499,-0.07838158588746856,-0.10414053199085546,-0.055056000250671276
1.4226235280311368,-0.08209113747462084,-0.10905314997879997,-0.05767237037044654
1.4557606868879853,-0.08597705019367409,-0.11419777294122747,-0.06041417686208202
1.4896697093302924,-0.09004778896054963,-0.11958538612424272,-0.06328754282912379
1.5243685743705961,-0.09431223314299643,-0.1252274981048941,-0.06629890119650036
1.5598756798064346,-0.09877969768984037,-0.13113616608773193,-0.06945501148142548
1.596209851975102,-0.10345995542341448,-0.13732402246640607,-0.07276297758055848
1.6333903557356217,-0.10836326056783384,-0.14380430271846337,-0.07623026664523082
1.6714369046832298,-0.1135003735911422,-0.15059087470551336,-0.07986472912262235
1.7103696716017838,-0.11888258744512226,-0.15769826945553472,-0.08367462004736434
1.75020929915964,-0.12452175529276487,-0.16514171350880955,-0.08766862167505808
1.7909769108546696,-0.13043031982044742,-0.17293716291417172,-0.09185586755725014
1.8326941222142161,-0.13662134423895328,-0.18110133896773184,-0.09624596816569396
1.8753830522559354,-0.14310854508590262,-0.18965176579214782,-0.10084903818362884
1.91906633521559,-0.14990632695051437,-0.1986068098609303,-0.10567572559160272
1.9637671325480217,-0.15702981925151271,-0.20798572157896017,-0.11073724268705823
2.0095091452076614,-0.16449491520897783,-0.21780867903779227,-0.116045399189229
2.0563166262150885,-0.1723183131624152,-0.22809683407214243,-0.12161263759443026
2.104214393516303,-0.18051756039939584,-0.23887236075211785,-0.12745207096187156
2.1532278431415297,-0.18911109967227388,-0.25015850645503335,-0.13357752332635311
2.2033829626705304,-0.19811831859496765,-0.2619796456699032,-0.14000357295235505
2.2547063450115603,-0.20755960212721558,-0.27436133669798946,-0.14674559866342488
2.307225202501282,-0.2174563883704962,-0.28733038142365463,-0.1538198295025094
2.3609673813331056,-0.22783122791819266,-0.3009148883411437,-0.16124339800224724
2.4159613763216097,-0.23870784702182107,-0.315144339035183,-0.16903439737007878
2.472236346010869,-0.25011121485669474,-0.33004965832590055,-0.17721194292106776
2.5298221281347,-0.26206761519271377,-0.34566328830224025,-0.18579623812209334
2.5887492554370226,-0.27460472280055537,-0.3620192664817265,-0.19480864564417136
2.6490489718607253,-0.28775168494950726,-0.37915330834931255,-0.2042717638564369
2.710753249113617,-0.30153920838076487,-0.3971028945425456,-0.21420950923411713
2.7738948036202493,-0.31599965216962594,-0.41590736296587416,-0.2246472051960172
2.8385071138685998,-0.33116712692060735,-0.4356080061318959,-0.2356116779326332
2.904624438160807,-0.34707760077251004,-0.45624817404256457,-0.24713135983573936
2.972281832777376,-0.36376901272382106,-0.4778733829380327,-0.25923640119340857
3.041515170564485,-0.38128139382388765,-0.5005314302545261,-0.2719587908708963
3.11236115995424,-0.39965699681110994,-0.5242725161450298,-0.2853324867582031
3.184857364427973,-0.41894043481480436,-0.5491493719270228,-0.29939355682843216
3.259042222432897,-0.4391788297732518,-0.5752173958292255,-0.3141803317175037
3.334955067762678,-0.46042197125435386,-0.6025347964133649,-0.3297335698049889
3.412636150412736,-0.48272248639734755,-0.6311627440464117,-0.34609663584620787
3.492126657921322,-0.5061360217224159,-0.6611655307919786,-0.363315694277642
